FSC,SSC,CD16 AF488,CD14-PE,CD42a-PerCP,CCR2-APC
2,258,801,801,289,3
771,770,258,545,801,770
32,800,258,801,545,258
32,288,33,801,545,545
2,3,515,771,3,770
514,2,800,544,800,258
259,770,769,513,544,515
3,770,1,800,800,514
3,258,288,288,288,258
800,32,2,800,32,513
288,544,544,544,288,1
288,544,32,288,544,1
544,32,800,257,800,2
3,258,257,32,544,1
288,513,288,544,544,770
3,770,257,32,544,258
1,513,259,544,770,258
771,770,32,800,288,2
770,514,32,800,544,288
257,770,771,259,2,770
3,514,769,544,544,769
288,544,32,288,32,257
32,800,288,288,288,514
3,514,769,544,288,2
258,770,288,544,288,514
3,2,32,32,32,32
513,515,259,259,770,770
257,513,3,544,771,258
3,258,544,544,544,257
32,800,800,769,288,258
771,770,288,544,288,770
770,770,800,288,544,258
771,514,32,544,32,544
2,3,3,771,770,800
770,771,259,3,770,770
771,770,769,800,32,513
800,800,32,32,288,771
3,770,257,288,800,513
544,769,259,288,771,258
259,514,257,288,288,769
800,288,800,544,32,544
1,258,3,771,770,770
258,258,257,32,32,769
544,544,513,288,32,514
258,258,32,288,288,257
800,544,257,800,32,2
257,513,259,544,770,258
288,258,257,288,544,514
770,514,288,544,288,770
259,258,32,800,32,544
1,3,771,259,514,770
259,258,32,544,544,800
770,515,3,3,770,770
2,513,513,288,32,769
288,32,257,800,288,2
515,770,800,769,32,2
771,514,544,32,544,514
769,513,515,1,1,770
770,514,32,544,800,258
3,514,1,288,288,514
771,2,32,544,32,1
544,32,1,288,32,771
259,770,800,32,288,258
771,769,769,1,288,1
32,800,288,514,800,2
515,770,513,544,32,513
32,32,257,32,32,514
771,514,1,800,32,1
288,769,769,32,800,770
259,514,288,544,288,515
515,514,288,288,544,514
3,770,513,288,800,2
259,770,544,32,288,32
769,514,3,771,2,769
32,800,769,544,544,1
32,513,288,1,32,2
258,770,1,800,32,769
32,288,800,288,800,770
771,770,544,800,288,544
769,515,771,3,770,770
3,2,1,544,32,513
544,800,513,544,800,1
32,544,32,544,288,258
259,770,288,288,32,288
1,258,771,3,258,769
288,800,32,288,800,2
544,800,769,32,800,769
544,800,32,800,32,2
770,2,800,288,32,257
800,1,513,800,32,2
771,514,288,257,288,513
800,257,32,800,544,770
2,514,800,544,544,258
259,2,513,32,32,513
32,32,544,800,544,258
515,770,544,32,32,258
513,769,259,288,514,770
770,2,800,800,32,258
515,258,544,288,544,770
259,2,544,32,288,769
288,800,544,288,288,32
257,514,3,259,258,770
513,1,515,513,1,769
32,800,1,32,288,2
515,770,544,800,800,770
771,514,769,288,800,2
515,770,544,257,32,770
259,258,769,800,32,770
514,2,800,288,800,258
515,2,513,32,544,258
3,514,257,544,32,257
288,544,513,800,32,770
2,258,32,800,288,513
32,800,257,288,32,257
544,288,288,544,32,2
2,2,288,800,32,2
769,513,515,769,2,770
771,2,288,800,32,769
32,257,800,544,544,514
515,514,513,32,544,1
288,769,32,32,288,515
259,770,544,800,32,544
514,513,513,513,544,770
769,769,515,513,771,32
770,259,515,515,259,769
544,288,544,257,32,514
515,514,257,288,800,2
515,514,1,544,32,771
3,770,513,32,800,1
32,32,769,288,288,514
515,2,800,32,544,2
514,258,32,32,800,770
259,770,2,33,801,514
800,32,289,545,33,258
288,514,33,545,289,771
771,770,289,289,545,3
515,770,770,801,33,3
258,770,801,33,33,2
288,258,545,33,289,515
515,769,258,514,545,515
770,258,801,801,33,259
770,514,801,545,545,258
32,32,33,33,545,3
3,770,801,33,801,515
1,769,260,289,3,33
513,771,4,772,3,771
3,770,289,545,289,259
1,769,260,801,515,258
544,513,289,33,801,771
2,514,801,33,289,514
32,800,545,545,33,258
32,32,514,545,289,2
32,288,514,289,545,514
544,800,289,33,545,258
32,288,33,2,289,259
258,258,258,801,801,545
258,770,772,516,259,771
771,514,545,545,33,770
288,288,801,801,545,515
515,514,2,289,801,259
769,513,772,770,515,259
259,770,33,801,545,771
2,258,33,289,289,771
3,2,289,289,33,514
800,32,801,545,289,259
259,2,770,801,33,514
32,32,514,801,545,770
800,513,770,33,33,515
515,514,545,801,33,258
544,544,33,545,801,771
2,770,770,545,33,258
288,288,33,33,33,770
288,257,514,801,33,515
3,258,258,289,33,771
771,770,2,545,33,258
544,288,289,545,545,770
288,800,801,801,801,259
515,769,2,514,33,260
515,514,770,545,801,259
258,514,545,801,545,259
514,2,514,801,801,33
257,771,4,516,515,772
771,770,258,801,801,771
259,514,545,801,801,771
3,258,545,33,545,33
514,515,4,516,259,770
32,544,545,289,289,259
800,800,2,33,289,515
259,514,770,289,289,259
3,770,33,33,289,771
515,770,33,258,801,2
32,800,545,801,801,771
770,2,545,33,545,3
515,770,514,801,33,514
32,800,2,514,801,259
3,769,770,514,545,516
259,770,289,801,801,3
771,514,801,801,33,3
259,2,289,33,33,2
544,1,289,33,289,259
259,770,801,33,801,3
258,2,770,289,545,771
771,770,33,801,33,3
770,514,545,33,33,545
2,515,260,516,771,771
771,514,289,545,33,3
771,2,289,801,33,259
769,1,516,770,514,515
3,769,258,289,33,3
259,2,514,289,33,258
32,544,545,289,545,258
288,288,545,801,289,771
259,770,545,289,289,259
3,514,258,33,33,515
769,1,516,33,771,514
544,2,545,545,33,515
2,770,289,2,545,771
515,770,770,33,289,515
3,514,545,289,289,259
32,800,771,545,801,770
288,769,258,801,545,289
513,771,4,260,515,771
3,2,801,289,801,771
288,513,4,33,514,772
259,770,33,545,33,3
515,770,258,801,33,2
544,32,289,289,33,258
288,288,514,801,33,771
259,2,514,545,545,259
259,770,289,258,289,3
771,514,770,33,801,515
771,514,33,33,545,515
3,1,2,545,289,259
513,769,260,289,3,289
1,3,516,4,771,770
288,288,545,33,545,259
771,770,514,801,545,289
769,258,4,772,771,772
771,770,801,545,801,770
800,800,801,801,801,514
800,32,289,545,33,516
259,770,545,258,801,545
769,258,260,4,3,770
800,32,514,289,545,260
771,770,770,545,801,515
259,514,258,258,545,771
515,2,289,33,545,289
1,514,260,516,259,770
544,800,289,545,545,259
258,514,514,289,33,4
259,2,289,545,289,258
32,257,289,545,801,514
32,800,33,801,33,545
2,771,772,772,3,801
257,515,772,260,515,801
1,259,516,772,259,771
259,258,801,801,289,545
513,3,260,260,515,801
769,771,772,772,771,771
515,770,514,545,801,3
770,770,800,32,800,2
771,770,288,288,288,771
259,770,288,544,544,2
259,770,800,544,544,769
32,288,288,544,544,2
2,2,32,800,32,513
288,800,257,288,800,514
1,769,259,544,770,769
288,769,800,544,32,513
800,32,800,800,32,514
771,770,769,32,800,257
288,544,288,32,544,258
3,514,544,544,800,2
514,258,288,544,544,258
1,258,257,288,32,2
259,770,257,544,288,800
769,514,771,3,258,770
769,257,259,769,3,513
800,32,800,544,288,1
288,258,544,32,32,2
800,513,3,544,2,770
3,514,257,288,288,258
515,2,32,32,800,769
544,288,32,288,544,258
257,257,515,544,2,257
544,288,288,288,544,258
258,2,800,32,288,544
1,514,515,259,2,769
32,257,544,288,288,769
288,800,544,769,544,514
515,2,257,32,32,514
3,2,769,32,288,2
2,770,800,32,288,1
288,288,257,32,800,770
770,514,800,800,32,514
515,770,513,32,32,770
515,258,1,800,32,770
288,1,3,513,514,514
259,770,544,288,288,769
544,288,32,32,800,770
513,257,515,800,513,514
3,2,800,800,32,514
770,770,800,32,544,288
769,3,3,259,514,770
259,769,1,257,800,770
515,258,1,544,288,1
800,544,769,544,544,258
3,258,513,288,32,770
771,770,32,800,288,32
257,258,3,3,514,770
258,1,769,544,544,514
771,769,769,769,288,513
288,288,800,544,800,770
2,258,800,32,288,770
259,2,513,32,544,514
259,514,257,800,32,513
32,288,257,800,800,514
259,2,32,32,544,2
3,258,32,32,800,288
258,770,259,3,770,769
32,288,544,544,800,258
3,258,544,288,32,2
515,258,257,800,32,258
259,514,800,32,32,258
258,258,288,800,32,770
770,2,544,769,544,770
771,258,544,288,544,513
32,1,32,32,32,769
32,288,769,288,32,514
515,258,288,32,32,2
3,258,544,288,32,1
32,288,544,544,544,514
515,514,288,288,544,800
769,514,3,515,514,769
544,544,800,32,288,2
2,258,288,32,288,2
515,2,257,32,32,288
769,515,3,3,770,770
769,513,771,544,2,770
770,770,32,544,800,769
800,544,32,288,32,513
800,800,288,32,800,514
3,258,1,800,288,544
513,3,3,515,2,769
32,288,513,800,288,2
3,514,257,544,544,258
771,770,544,32,32,770
259,770,800,288,800,258
515,514,800,544,544,257
800,800,800,800,800,770
3,514,800,32,288,770
259,514,769,288,32,2
2,514,32,32,544,258
513,258,770,513,800,513
800,769,288,800,32,770
770,258,800,544,800,513
800,288,257,32,800,514
800,769,514,288,32,515
515,770,769,769,800,770
515,514,544,544,544,1
288,800,288,288,288,257
544,288,288,32,544,513
32,769,800,288,32,514
2,514,257,544,800,514
1,769,515,32,769,257
544,544,800,544,800,514
259,2,800,544,32,514
771,258,769,288,544,513
32,288,1,544,32,770
770,2,544,800,544,769
544,800,257,32,32,513
32,288,513,800,288,770
259,258,513,800,544,514
2,258,513,1,288,770
259,514,513,288,32,257
288,288,513,800,544,769
288,257,257,288,544,514
800,769,3,544,514,257
544,288,288,544,800,769
288,1,1,32,544,2
771,2,257,544,288,258
515,2,513,800,288,2
515,514,769,544,288,2
259,514,513,544,800,1
288,2,769,800,288,257
514,2,1,257,288,258
2,258,544,800,544,513
514,2,288,32,32,1
544,32,801,33,801,770
288,288,2,545,545,771
2,514,258,289,289,258
32,513,289,801,801,771
258,770,514,289,289,259
515,2,2,33,545,33
770,515,516,772,3,770
288,544,33,770,545,259
3,514,545,289,33,259
258,770,514,33,33,258
544,544,258,801,801,3
258,2,2,258,33,515
770,514,33,289,801,259
515,770,289,545,801,801
257,2,516,4,515,770
800,258,545,33,33,260
771,770,258,33,289,259
288,32,4,33,770,515
2,514,289,289,545,515
515,770,33,289,545,515
514,2,258,545,545,770
32,800,514,801,545,770
32,769,33,33,545,4
771,514,258,545,33,3
515,2,545,33,33,771
771,514,514,289,545,2
288,257,2,33,545,258
800,288,33,289,289,259
513,257,4,33,2,514
288,800,545,801,33,259
3,770,770,545,545,2
800,544,801,545,33,515
259,514,545,33,33,514
800,1,770,545,801,3
257,257,4,33,2,258
544,544,33,289,33,3
1,513,4,801,515,770
800,800,2,33,289,514
288,32,801,33,289,545
2,3,772,516,771,801
769,259,4,516,771,771
3,770,545,545,801,801
1,514,516,516,3,771
515,770,289,545,33,3
544,258,545,545,33,770
544,544,33,33,33,514
544,32,514,33,801,770
32,800,289,289,289,3
258,514,289,801,289,515
3,258,545,514,801,3
1,769,516,289,258,259
515,2,545,545,545,771
1,1,260,289,4,770
32,800,801,545,801,260
259,770,801,258,289,771
259,770,770,545,33,771
258,258,289,545,33,3
515,770,545,289,289,514
288,32,801,545,33,260
771,2,258,258,289,801
513,515,260,260,515,771
770,2,2,289,801,260
771,770,801,801,801,4
515,770,258,2,33,514
288,288,289,801,33,3
3,258,801,33,33,3
259,514,545,289,545,2
544,32,801,33,289,515
769,769,516,770,259,514
32,32,514,545,545,259
515,514,514,545,33,771
3,514,801,545,33,771
32,513,772,770,770,259
515,514,545,33,33,2
32,288,2,289,33,3
770,2,545,289,33,260
771,770,514,289,545,771
515,770,545,514,289,515
769,514,4,514,258,259
514,2,2,801,33,515
770,258,514,770,33,514
800,513,801,289,801,259
513,1,772,770,2,3
259,770,545,801,545,258
544,32,258,545,289,515
515,258,33,33,801,3
2,514,545,289,545,259
515,2,33,289,801,771
259,2,801,514,545,3
513,544,4,2,515,258
32,544,545,545,545,3
288,513,3,33,289,801
2,771,772,516,515,770
544,1,514,801,33,2
800,544,801,545,801,771
258,770,801,545,801,771
3,770,514,33,545,3
771,770,545,545,801,771
771,2,33,289,33,801
257,771,260,516,3,771
257,513,260,289,2,2
32,800,801,801,289,289
2,3,516,772,3,771
515,514,545,289,289,2
32,544,801,289,33,259
3,514,514,545,289,4
771,770,33,801,33,772
771,2,545,33,545,260
771,770,2,289,33,3
771,770,258,33,545,2
800,257,289,545,801,515
544,544,514,801,33,33
770,514,260,260,3,772
3,770,289,801,33,259
3,514,258,2,289,771
771,2,33,545,289,770
544,288,801,545,801,515
514,2,801,33,289,515
3,514,545,545,33,516
515,514,801,33,545,771
258,258,33,545,801,771
259,770,289,801,33,515
3,2,2,545,289,3
771,2,514,545,801,515
771,770,514,801,545,260
259,770,770,801,289,514
32,288,801,545,801,2
800,258,545,33,289,770
544,800,544,288,800,800
257,288,544,544,800,769
544,32,544,544,544,514
1,769,3,288,1,2
3,770,257,32,32,2
3,514,32,800,288,259
515,770,800,32,32,257
544,288,544,800,288,514
288,32,32,800,32,2
258,2,800,800,288,771
259,770,288,32,544,515
3,770,288,288,800,800
1,514,259,3,770,770
514,2,288,800,544,769
800,544,800,800,800,770
771,770,544,800,544,258
258,258,513,1,544,2
800,513,258,288,800,257
32,513,1,32,544,769
32,288,800,544,288,2
3,770,32,800,32,288
769,259,3,3,2,770
769,513,259,1,514,257
32,288,32,288,32,769
288,800,544,288,800,2
513,1,3,544,2,258
259,770,513,513,32,288
257,771,3,3,514,769
544,32,32,288,32,515
259,770,769,1,800,770
771,770,1,800,800,770
258,258,544,800,32,769
800,32,769,32,800,2
259,770,257,32,544,514
515,770,32,800,288,513
288,544,800,544,544,258
515,514,513,288,544,2
771,258,544,32,288,1
544,288,800,32,800,769
544,800,800,800,288,2
515,258,513,288,32,770
769,513,771,288,513,2
3,770,257,1,32,2
770,2,32,1,32,257
288,544,769,544,32,3
515,514,288,544,32,258
259,258,288,32,288,2
257,769,515,32,2,514
771,770,544,544,800,32
1,259,771,259,258,770
514,258,257,288,32,258
259,514,800,32,544,2
771,258,1,1,32,770
515,514,1,800,800,770
771,2,800,32,800,257
32,544,769,288,288,515
3,770,800,544,32,771
3,770,1,800,800,258
514,258,544,544,800,769
288,800,544,513,544,770
258,258,257,32,544,544
1,3,3,515,770,800
258,3,259,259,514,770
3,770,544,800,288,1
800,800,544,544,544,258
3,770,1,32,800,258
259,770,513,800,800,258
258,514,544,544,32,544
1,771,771,259,514,800
769,515,3,515,770,800
513,771,3,771,514,770
2,2,513,800,800,258
3,770,32,1,544,257
288,1,544,288,288,2
515,514,1,800,288,515
771,770,32,288,800,2
515,770,257,544,800,2
259,2,257,288,32,770
259,258,800,288,32,288
257,259,259,771,514,771
771,2,288,513,800,770
259,770,288,288,288,514
514,2,32,288,800,1
800,288,800,513,288,514
259,770,513,32,288,770
771,1,257,257,800,514
3,770,800,257,288,514
771,514,257,288,544,32
513,3,259,259,514,770
259,2,1,32,544,288
258,515,259,3,770,770
515,258,544,544,544,259
3,770,288,32,32,514
514,770,1,32,32,288
513,770,3,259,2,770
771,770,288,1,544,1
32,544,288,544,800,514
2,258,800,800,800,770
259,770,1,257,32,769
288,32,32,32,800,32
257,800,288,800,800,544
258,771,515,771,2,800
513,544,32,544,288,2
258,2,544,800,544,513
544,513,544,32,288,770
513,257,515,800,1,770
257,513,771,32,258,257
288,800,288,544,32,769
32,800,800,32,800,2
771,770,32,32,32,258
515,258,513,800,800,2
3,514,800,800,288,258
259,770,544,544,544,514
3,258,800,288,544,770
257,513,259,32,769,769
800,288,32,257,544,770
771,770,544,800,288,514
514,258,544,288,288,514
257,769,3,32,1,258
514,258,32,800,800,514
771,2,544,800,32,2
515,769,769,513,32,544
1,259,3,771,514,800
258,259,3,3,258,770
3,514,32,544,544,769
288,513,32,800,544,515
259,770,32,800,32,769
800,32,257,800,544,514
514,514,801,33,33,3
258,2,289,801,545,33
514,259,516,516,515,771
515,258,258,2,801,259
515,769,514,771,289,289
514,259,4,772,4,770
544,544,545,801,545,545
770,3,260,4,515,771
800,770,770,33,545,515
514,514,33,258,801,259
515,770,33,545,801,771
258,2,2,33,801,2
32,32,258,545,289,259
259,769,514,545,289,3
3,2,289,545,545,515
3,770,258,258,289,515
258,2,801,545,545,514
288,32,770,289,289,259
770,514,289,33,545,33
770,515,772,4,515,771
1,769,516,33,260,770
288,800,545,545,289,259
258,258,33,545,289,3
771,2,258,545,289,259
515,514,770,801,33,545
513,515,260,516,771,770
544,770,801,801,33,259
3,514,545,545,545,771
259,770,33,2,801,259
515,770,545,33,545,3
515,2,545,514,33,258
288,288,801,545,801,515
771,2,801,545,289,258
544,544,801,33,801,514
288,257,33,289,33,259
515,770,801,258,33,33
2,515,4,260,515,770
1,514,514,33,801,3
771,770,258,289,289,515
259,769,770,258,289,515
515,258,2,545,545,514
800,544,289,289,801,515
258,514,770,545,801,260
3,770,770,801,289,771
259,258,2,801,545,259
515,514,770,770,801,515
771,2,2,545,33,771
515,258,2,801,33,4
3,770,801,33,289,3
771,770,545,770,289,258
32,514,801,801,801,515
3,770,545,289,801,515
771,770,289,801,33,770
288,544,770,801,33,259
257,1,3,2,801,515
258,770,258,545,545,771
514,514,258,33,545,259
544,513,4,33,259,545
1,771,4,4,515,770
800,800,33,289,289,515
258,514,33,33,801,515
259,514,289,289,33,771
259,514,258,801,33,259
259,514,2,289,289,259
515,514,545,545,801,770
288,257,289,545,289,258
288,288,289,770,289,259
3,770,545,289,801,771
769,769,4,801,2,2
288,513,289,545,33,2
288,544,801,289,545,515
515,770,801,801,801,515
259,514,770,33,545,514
288,32,545,289,289,771
3,769,770,258,545,515
771,514,801,801,289,771
3,2,33,33,33,514
770,258,770,289,545,258
544,1,2,545,289,289
1,771,772,772,515,771
3,2,801,289,33,260
259,770,801,33,801,515
515,770,2,289,289,3
515,2,2,3,545,3
1,1,4,801,514,516
3,514,801,289,289,770
32,288,33,801,33,259
3,770,2,33,801,259
770,2,770,545,289,3
770,258,2,801,33,3
771,770,770,801,545,515
770,258,33,801,33,515
259,2,514,770,289,259
257,513,772,801,4,770
544,257,770,33,801,771
515,258,770,801,33,3
259,770,801,545,801,514
288,800,801,33,545,259
771,514,289,289,545,515
259,770,33,801,289,771
259,2,514,545,801,770
544,544,514,33,289,259
771,2,33,33,33,259
513,1,516,33,259,801
1,515,516,516,259,771
2,2,545,33,545,259
257,769,260,545,771,770
288,32,2,33,545,514
288,800,258,289,289,258
288,288,770,33,33,771
258,514,545,33,545,289
257,771,260,516,3,801
2,771,4,772,771,771
513,257,772,2,3,515
3,770,33,33,33,515
771,2,289,801,33,2
32,288,258,801,801,515
258,258,801,801,801,772
515,770,801,289,289,2
288,800,33,801,545,771
3,258,33,514,33,259
258,2,33,545,801,515
2,2,545,33,33,3
259,514,801,801,289,514
544,513,289,801,801,3
514,2,258,801,545,259
770,258,2,289,801,259
515,514,33,2,545,2
32,544,544,288,288,2
771,514,288,288,800,514
515,770,544,800,288,258
515,770,769,800,32,514
544,769,259,800,257,513
514,514,1,32,544,2
259,769,513,1,288,258
770,770,288,800,32,258
3,770,800,32,288,257
514,259,258,515,544,1
32,769,32,32,32,2
771,514,32,32,32,258
2,514,32,32,544,544
2,2,3,259,770,769
32,32,544,288,800,2
1,513,259,32,769,258
514,2,32,544,544,258
771,514,1,32,32,2
3,514,288,288,544,288
257,770,771,259,514,770
259,514,544,32,288,257
544,800,1,544,288,770
769,769,515,800,513,514
515,770,769,544,800,770
259,258,32,288,800,258
3,770,32,544,32,513
800,800,544,32,288,32
514,515,515,771,514,770
515,2,1,1,32,259
259,770,513,800,288,769
288,288,800,544,800,514
771,770,800,288,32,770
769,770,258,769,800,770
515,258,544,800,544,288
2,32,288,288,32,288
2,515,771,515,770,771
259,770,544,288,800,769
32,544,288,288,800,1
800,544,769,32,32,514
2,2,32,544,32,288
2,515,515,515,258,770
259,2,513,800,32,800
259,515,515,259,259,769
544,32,32,32,544,2
259,514,1,800,800,771
259,770,32,769,800,514
771,770,1,800,544,258
513,257,3,544,1,770
771,514,1,544,32,2
515,514,32,32,800,258
771,258,257,288,800,257
544,544,513,288,32,513
544,288,800,544,288,770
259,514,513,288,32,769
800,257,1,800,288,514
544,800,1,770,32,258
771,770,769,800,800,514
259,770,769,32,544,770
513,513,3,288,1,514
258,258,288,544,32,2
514,514,1,288,800,769
288,800,544,32,544,770
800,257,259,800,259,770
770,514,288,800,32,769
544,257,800,32,288,288
514,770,259,259,769,771
515,258,32,288,288,770
3,770,1,288,288,257
32,544,800,32,32,2
515,258,513,544,544,2
769,769,771,513,2,770
770,770,800,800,32,258
515,770,1,800,800,2
259,770,800,544,32,544
1,771,3,515,258,770
257,257,259,769,515,32
769,259,3,515,2,769
544,257,513,513,32,2
770,514,769,800,800,2
515,770,544,544,800,513
514,514,288,32,544,513
32,544,769,32,544,32
513,258,515,771,770,770
258,770,544,32,800,2
257,1,259,1,1,515
770,258,32,32,32,2
515,770,800,544,288,32
514,258,259,259,514,769
800,544,513,1,544,258
514,2,257,288,32,2
514,2,288,800,32,2
515,770,800,32,32,32
514,3,259,515,514,770
258,2,513,288,544,513
288,32,257,32,32,2
514,514,769,800,544,1
800,1,257,800,800,544
770,771,771,515,770,770
3,258,513,32,288,514
771,258,288,288,288,258
515,770,513,800,544,515
771,258,513,800,288,514
259,770,800,288,288,258
259,2,544,800,544,2
3,770,32,800,288,770
515,770,513,32,32,2
258,2,544,288,288,2
771,258,769,544,32,258
515,770,288,32,288,515
259,514,544,288,544,258
513,258,514,800,32,770
3,770,800,513,544,770
3,258,32,800,800,770
514,2,769,544,32,770
544,257,771,544,514,514
3,2,769,32,32,2
771,258,544,514,800,2
257,513,3,769,770,258
259,258,544,1,544,770
769,513,259,257,770,288
257,258,515,3,770,770
515,770,32,288,544,770
259,770,544,288,32,258
258,258,1,288,288,258
770,514,544,800,800,770
2,2,1,800,800,258
259,514,800,800,32,514
514,514,800,800,288,514
2,2,289,289,33,259
771,770,801,289,289,259
257,257,260,289,514,259
258,258,770,801,33,259
1,514,258,514,289,259
515,770,770,801,33,771
770,258,545,545,33,259
