FSC,SSC,CD16 AF488,CD14-PE,CD42a-PerCP,CCR2-APC
544,1,288,769,288,770
259,2,513,514,800,2
259,258,544,544,32,258
259,769,1,513,32,258
1,1,259,800,770,513
800,513,513,32,544,770
515,770,769,32,288,769
32,288,800,32,32,770
514,2,544,800,544,258
2,770,1,288,32,770
259,2,32,32,544,544
769,771,3,771,514,800
2,259,259,515,770,770
513,769,515,257,769,769
800,800,257,544,32,32
257,515,3,3,770,770
259,770,32,544,800,769
544,288,800,800,544,2
515,258,1,800,544,258
771,770,800,288,32,514
513,257,771,544,1,2
513,770,515,513,259,2
259,258,257,544,32,513
544,800,1,800,288,770
2,258,544,32,544,258
771,770,544,32,32,1
32,32,288,288,800,257
288,544,800,800,800,1
800,800,800,32,544,769
32,1,544,800,288,258
513,257,771,257,771,257
800,32,32,288,544,514
1,1,515,800,514,258
259,770,1,800,288,258
769,3,2,770,288,1
800,32,800,800,288,514
771,514,544,32,544,770
771,1,1,769,288,258
2,770,1,32,32,257
770,2,32,32,800,513
288,800,32,288,544,513
32,32,288,544,800,514
3,770,257,544,544,1
32,288,800,32,800,257
288,288,288,288,32,770
258,258,1,32,32,258
514,258,32,544,32,258
513,513,3,513,2,2
3,769,513,1,32,2
771,2,1,544,544,258
1,800,771,32,771,771
515,770,769,544,288,769
800,32,288,288,32,2
3,770,32,257,288,514
771,770,32,32,32,2
3,770,32,800,32,514
258,2,288,800,800,513
800,288,32,288,800,769
32,544,288,288,544,257
32,288,800,800,32,514
771,258,288,800,288,769
800,288,257,800,288,513
32,32,32,288,32,258
259,770,769,288,800,258
288,769,515,544,2,513
288,544,544,288,800,514
515,770,544,32,544,32
514,3,515,259,771,771
771,770,32,32,800,513
288,32,32,544,288,514
259,770,513,800,32,258
514,2,544,32,544,2
259,770,257,1,288,1
544,544,1,32,800,513
32,544,257,800,800,800
769,771,515,3,514,770
2,2,513,544,800,769
32,288,288,32,288,771
771,770,32,800,32,769
800,1,800,32,32,770
513,514,3,800,2,257
800,544,32,32,32,257
288,544,513,544,800,544
258,771,3,3,2,769
288,769,32,544,544,769
544,32,800,544,288,258
771,770,544,544,544,513
800,288,800,288,544,514
771,770,1,800,32,1
544,288,257,288,800,32
770,515,3,259,2,770
259,770,1,800,800,514
1,1,771,32,514,544
257,3,515,3,2,770
1,514,769,800,800,769
288,288,513,544,800,769
800,544,288,288,288,514
515,2,769,544,32,513
288,288,288,288,800,770
3,770,800,800,288,514
515,258,32,32,288,257
32,257,800,800,32,513
288,544,32,288,32,258
1,769,259,544,513,258
259,514,288,32,32,258
259,770,32,288,288,2
771,770,800,288,544,257
288,257,544,800,32,800
514,259,3,259,3,769
288,1,257,32,800,1
544,800,513,288,800,771
3,514,288,257,800,770
800,1,771,288,2,1
288,32,800,800,288,770
515,514,769,257,32,544
769,259,3,771,770,770
513,257,259,288,2,258
258,258,1,544,32,32
2,515,515,771,2,770
514,770,769,800,32,771
259,770,513,544,32,2
514,770,513,288,800,770
3,770,257,1,800,2
513,257,515,769,770,769
544,769,32,32,32,2
2,2,544,288,288,257
288,288,32,769,544,258
2,258,32,800,32,513
288,800,33,801,801,259
258,258,33,545,33,3
2,258,33,289,801,259
3,258,545,801,801,771
258,258,33,545,801,514
800,800,545,33,801,4
259,258,545,289,33,771
3,2,545,3,289,259
514,2,2,289,33,3
770,2,33,545,289,515
259,2,289,801,289,801
1,514,516,772,259,771
514,514,545,545,289,3
513,1,260,514,259,3
32,544,260,33,770,3
258,770,289,801,289,3
1,800,771,545,33,259
259,514,545,545,289,515
259,770,801,545,289,3
3,770,289,289,545,516
771,770,801,33,33,3
515,2,514,33,545,3
3,2,801,33,33,771
259,514,33,33,33,258
544,32,2,801,801,515
515,514,289,289,545,771
3,258,770,289,801,259
257,1,260,545,514,771
771,769,258,770,545,771
771,770,289,801,289,515
3,770,545,801,33,3
258,514,289,514,33,260
771,769,2,770,801,545
257,258,260,260,3,771
770,2,545,770,545,770
800,288,258,801,289,515
3,770,801,801,33,515
770,770,33,33,545,514
32,544,545,770,289,771
515,770,770,2,33,258
32,257,258,545,289,801
513,3,772,4,259,771
2,770,545,289,801,3
515,770,289,289,33,2
800,544,33,289,289,515
259,2,33,801,33,3
259,770,2,801,545,771
259,514,514,801,801,4
515,770,545,2,289,515
259,514,289,2,33,515
514,258,514,545,801,259
771,514,33,289,545,771
771,769,770,2,545,3
770,258,2,33,33,3
257,769,260,289,771,259
515,258,545,33,801,2
32,800,801,770,33,289
1,770,772,260,3,770
288,544,514,289,545,3
770,2,514,801,33,3
515,770,801,801,545,2
32,544,289,289,801,545
1,259,516,772,3,801
770,771,4,260,771,801
1,515,4,516,259,772
3,770,545,801,33,3
2,258,33,33,289,801
769,514,4,4,515,771
515,770,289,33,289,771
2,2,801,545,801,3
259,258,545,33,545,3
514,770,33,801,289,545
770,771,516,516,4,770
32,32,545,545,289,771
3,2,770,33,289,3
259,770,33,801,33,515
3,769,545,545,545,514
544,32,289,801,801,259
515,514,258,514,801,260
258,514,514,33,33,3
259,514,33,33,33,545
2,258,4,772,771,771
258,770,258,801,289,515
258,258,33,545,33,33
257,258,4,260,3,771
771,2,514,289,801,258
32,544,33,33,801,258
800,32,770,545,801,289
514,258,260,772,771,771
2,770,289,770,33,260
3,257,770,258,289,2
544,544,289,3,33,514
32,1,514,289,289,515
3,770,770,801,289,515
3,770,33,514,289,259
257,513,4,801,771,3
800,1,516,545,515,259
514,770,545,289,801,259
3,770,770,289,545,3
259,514,801,545,289,801
257,514,260,772,259,771
3,770,33,545,801,3
513,769,4,33,2,515
1,257,516,801,516,2
32,288,770,33,801,771
2,770,33,801,801,2
288,32,514,33,545,771
3,258,2,801,33,514
288,800,33,33,801,770
544,800,33,289,801,3
258,2,258,33,33,259
3,770,770,545,289,2
32,258,33,33,33,771
771,258,770,289,545,3
514,258,801,545,545,771
259,2,33,545,289,2
544,800,33,33,33,515
771,2,289,289,289,258
544,32,289,801,801,259
514,770,514,801,33,259
800,288,770,258,545,771
2,514,801,289,801,259
770,257,33,258,33,770
800,544,289,289,801,259
